airline,avail_seat_km_per_week,incidents_00_14,fatal_accidents_00_14,fatalities_00_14
Aer Lingus,320906734,NA,NA,NA
Aeroflot*,1197672318,6,1,88
Aerolineas Argentinas,385803648,1,NA,NA
Aeromexico*,596871813,5,NA,NA
Air Canada,1865253802,2,NA,NA
Air France,3004002661,6,2,337
Air India*,869253552,4,1,158
Air New Zealand*,1549135164,5,1,7
Alaska Airlines*,965346773,5,1,88
Alitalia,698012498,4,NA,NA
All Nippon Airways,1841234177,7,NA,NA
American*,5228357340,17,3,416
Austrian Airlines,358239823,1,NA,NA
Avianca,396922563,NA,NA,NA
British Airways*,3179760952,6,NA,NA
Cathay Pacific*,2582459303,2,NA,NA
China Airlines,813216487,2,1,225
Condor,417982610,NA,NA,NA
COPA,550491507,NA,NA,NA
